"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"TTC14","BCK_eIF4E_KD_DSG_2020.csv~1.33",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1183","MG_eIF4E_OE_DSG_2018.csv~1.167"
"FASTK","BCK_eIF4E_KD_DSG_2020.csv~1.34","BCK_eIF4E_KD_DSG_2023.xlsx~1.84","BCK_eIF4E_KD_DSG_2023.xlsx~2.82",NA,NA,NA,NA,NA,NA,NA,NA
"TEFM","BCK_eIF4E_KD_DSG_2020.csv~1.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM219B","BCK_eIF4E_KD_DSG_2020.csv~1.36",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1196",NA
"FAM219B","BCK_eIF4E_KD_DSG_2020.csv~1.36",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3452",NA
"CCDC125","BCK_eIF4E_KD_DSG_2020.csv~1.37",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.2082",NA,"BCK_Ezr_RIP_2025.csv~1.267",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.3513",NA
"RABL6","BCK_eIF4E_KD_DSG_2020.csv~1.38",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1241",NA,NA,NA,NA,NA,NA
"ZNF789","BCK_eIF4E_KD_DSG_2020.csv~1.39",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.765",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1201",NA
"SKIV2L","BCK_eIF4E_KD_DSG_2020.csv~1.40","BCK_eIF4E_KD_DSG_2023.xlsx~1.175",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.140",NA,NA,NA,NA,NA,NA,NA
"LINC01140","BCK_eIF4E_KD_DSG_2020.csv~1.41","BCK_eIF4E_KD_DSG_2023.xlsx~1.811",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1206",NA
